Scenario,Rank,Wallet,Success_Probability
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",1,(1) OR (2 AND 3 AND 4),0.300161
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",2,-1,0.3
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",3,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.299243
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.295765
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",5,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.29556
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",5,(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0.29556
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",7,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.293281
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",8,(1) OR (2 AND 3),0.29184
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",9,(1 AND 2) OR (1 AND 3) OR (2 AND 4),0.289598
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",10,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.285127
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",11,(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.282204
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",12,(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0.278755
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",13,(1) OR (2 AND 3) OR (2 AND 4),0.276358
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",14,(1 AND 2) OR (3 AND 4),0.272794
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",15,(1 AND 2) OR (1 AND 3),0.25755
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",16,(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.25479
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",17,(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0.253716
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",18,(1) OR (2),0.246
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",19,(1 AND 2) OR (1 AND 3 AND 4),0.225736
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",20,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.223664
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",21,(1) OR (2) OR (3 AND 4),0.211354
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",22,(1 AND 2),0.192
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",23,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0.186761
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",24,(1) OR (2) OR (3),0.15804
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",25,(1 AND 2 AND 3) OR (1 AND 2 AND 4),0.145177
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",26,(1 AND 2 AND 3),0.09891
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",27,(1) OR (2) OR (3) OR (4),0.093775
"SAFE=0.3000,LOST=0.2600,LEAKED=0.1700,STOLEN=0.2700",28,(1 AND 2 AND 3 AND 4),0.047962
