Scenario,Rank,Wallet,Success_Probability
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",1,(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0.530000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",1,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.530000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",3,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.507500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",3,(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0.507500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",5,(1),0.500000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",6,(1) OR (2 AND 3 AND 4),0.489500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",6,(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.489500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",8,(1 AND 2) OR (1 AND 3) OR (2 AND 4),0.488000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",9,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.482000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",9,(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.482000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",11,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.465500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",11,(1 AND 2) OR (3 AND 4),0.465500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",13,(1) OR (2 AND 3),0.455000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",13,(1 AND 2) OR (1 AND 3),0.455000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",15,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.453500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",15,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.453500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",17,(1) OR (2 AND 3) OR (2 AND 4),0.417500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",17,(1 AND 2) OR (1 AND 3 AND 4),0.417500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",19,(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0.377000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",19,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0.377000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",21,(1) OR (2),0.350000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",21,(1 AND 2),0.350000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",23,(1) OR (2) OR (3 AND 4),0.297500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",23,(1 AND 2 AND 3) OR (1 AND 2 AND 4),0.297500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",25,(1) OR (2) OR (3),0.215000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",25,(1 AND 2 AND 3),0.215000
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",27,(1) OR (2) OR (3) OR (4),0.129500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.3000",27,(1 AND 2 AND 3 AND 4),0.129500
"SAFE=0.5000,LOST=0.1000,LEAKED=0.2000,STOLEN=0.2000",1,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.576500
