Wallet,Unique_Count,Tie_Count,Total_Count,Unique_Percentage,Tie_Percentage,Total_Percentage
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),2100,6,2106,24.50%,0.70%,22.34%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),2100,6,2106,24.50%,0.70%,22.34%
-1,1754,28,1782,20.46%,3.29%,18.91%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),219,1,220,2.55%,0.12%,2.33%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),219,1,220,2.55%,0.12%,2.33%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),182,1,183,2.12%,0.12%,1.94%
(1 AND 2) OR (3 AND 4),182,1,183,2.12%,0.12%,1.94%
(1) OR (2) OR (3) OR (4),165,0,165,1.92%,0.00%,1.75%
(1 AND 2 AND 3 AND 4),165,0,165,1.92%,0.00%,1.75%
(1) OR (2) OR (3 AND 4),161,2,163,1.88%,0.23%,1.73%
(1 AND 2 AND 3) OR (1 AND 2 AND 4),161,2,163,1.88%,0.23%,1.73%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),153,6,159,1.78%,0.70%,1.69%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),153,6,159,1.78%,0.70%,1.69%
(1) OR (2),110,10,120,1.28%,1.17%,1.27%
(1 AND 2),110,10,120,1.28%,1.17%,1.27%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),109,1,110,1.27%,0.12%,1.17%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),109,1,110,1.27%,0.12%,1.17%
(1) OR (2) OR (3),94,1,95,1.10%,0.12%,1.01%
(1 AND 2 AND 3),94,1,95,1.10%,0.12%,1.01%
(1 AND 2) OR (1 AND 3) OR (2 AND 4),93,4,97,1.08%,0.47%,1.03%
(1) OR (2 AND 3),35,4,39,0.41%,0.47%,0.41%
(1 AND 2) OR (1 AND 3),35,4,39,0.41%,0.47%,0.41%
(1) OR (2 AND 3) OR (2 AND 4),19,2,21,0.22%,0.23%,0.22%
(1 AND 2) OR (1 AND 3 AND 4),19,2,21,0.22%,0.23%,0.22%
(1) OR (2 AND 3 AND 4),16,0,16,0.19%,0.00%,0.17%
(1 AND 2) OR (1 AND 3) OR (1 AND 4),16,0,16,0.19%,0.00%,0.17%
(1 AND 2) OR (1 AND 3) OR (2 AND 3),0,810,810,0.00%,95.07%,8.59%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0,810,810,0.00%,95.07%,8.59%
