Wallet,SAFE,LOST,LEAKED,STOLEN
(1 AND 2 AND 3 AND 4),0.3,0.01,0.58,0.11
(1 AND 2 AND 3),0.3,0.01,0.54,0.15
(1 AND 2 AND 3) OR (1 AND 2 AND 4),0.3,0.01,0.47,0.22
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0.3,0.03,0.4,0.27
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.3,0.06,0.35,0.29
(1 AND 2),0.3,0.01,0.35,0.34
(1 AND 2) OR (1 AND 3 AND 4),0.3,0.04,0.36,0.3
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.3,0.13,0.3,0.27
(1 AND 2) OR (1 AND 3),0.3,0.03,0.35,0.32
(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.3,0.08,0.32,0.3
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0.3,0.2,0.24,0.26
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0.3,0.17,0.27,0.26
(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.3,0.2,0.24,0.26
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.3,0.25,0.19,0.26
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.3,0.28,0.16,0.26
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.3,0.31,0.11,0.28
(1 AND 2) OR (1 AND 3) OR (2 AND 4),0.3,0.24,0.26,0.2
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.3,0.27,0.23,0.2
(1 AND 2) OR (3 AND 4),0.3,0.21,0.29,0.2
(1),0.3,0.01,0.29,0.4
(1) OR (2 AND 3 AND 4),0.3,0.26,0.17,0.27
(1) OR (2 AND 3),0.3,0.33,0.06,0.31
(1) OR (2 AND 3) OR (2 AND 4),0.3,0.35,0.05,0.3
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0.3,0.37,0.04,0.29
(1) OR (2),0.3,0.35,0.01,0.34
(1) OR (2) OR (3 AND 4),0.3,0.46,0.02,0.22
(1) OR (2) OR (3),0.3,0.54,0.01,0.15
(1) OR (2) OR (3) OR (4),0.3,0.58,0.01,0.11
