Wallet,Optimal_Count,Percentage
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),12976,55.39%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5) OR (2 AND 5) OR (3 AND 5) OR (4 AND 5),3160,13.49%
(1 AND 2 AND 3 AND 4) OR (1 AND 2 AND 3 AND 5) OR (1 AND 2 AND 4 AND 5) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),3160,13.49%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (1 AND 5) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),912,3.89%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),912,3.89%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),605,2.58%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),605,2.58%
(1) OR (2) OR (3) OR (4) OR (5),98,0.42%
(1 AND 2 AND 3 AND 4 AND 5),98,0.42%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),71,0.30%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),71,0.30%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),65,0.28%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),65,0.28%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5) OR (2 AND 5) OR (3 AND 5),49,0.21%
(1 AND 2 AND 3) OR (1 AND 2 AND 4 AND 5) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),49,0.21%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),48,0.20%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5),47,0.20%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5) OR (2 AND 5),38,0.16%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),38,0.16%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5),32,0.14%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4 AND 5),31,0.13%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5),24,0.10%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),23,0.10%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 5) OR (4 AND 5),18,0.08%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),18,0.08%
-1,12,0.05%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 5) OR (4 AND 5),12,0.05%
(1 AND 2) OR (3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),12,0.05%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),12,0.05%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (3 AND 4 AND 5),12,0.05%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (4 AND 5),11,0.05%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),11,0.05%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),10,0.04%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (2 AND 5) OR (3 AND 4 AND 5),9,0.04%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (3 AND 5) OR (4 AND 5),9,0.04%
(1 AND 2 AND 3) OR (1 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),9,0.04%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5) OR (3 AND 5) OR (4 AND 5),8,0.03%
(1 AND 2 AND 3 AND 4) OR (1 AND 2 AND 3 AND 5) OR (1 AND 2 AND 4 AND 5) OR (1 AND 3 AND 4 AND 5),8,0.03%
(1) OR (2) OR (3 AND 4) OR (3 AND 5) OR (4 AND 5),7,0.03%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (4 AND 5),7,0.03%
(1 AND 2 AND 3 AND 4) OR (1 AND 2 AND 3 AND 5) OR (1 AND 2 AND 4 AND 5),7,0.03%
(1) OR (2) OR (3) OR (4),6,0.03%
(1 AND 2 AND 3 AND 4),6,0.03%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (2 AND 3 AND 5) OR (3 AND 4 AND 5),5,0.02%
(1) OR (2) OR (3) OR (4 AND 5),4,0.02%
(1 AND 2) OR (1 AND 3) OR (2 AND 3),4,0.02%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),4,0.02%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),4,0.02%
(1 AND 2 AND 3 AND 4) OR (1 AND 2 AND 3 AND 5),4,0.02%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 5) OR (4 AND 5),3,0.01%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5),3,0.01%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),3,0.01%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 2 AND 5) OR (3 AND 4 AND 5),3,0.01%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),2,0.01%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 4 AND 5),2,0.01%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4 AND 5),1,0.00%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 5) OR (3 AND 5) OR (4 AND 5),1,0.00%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 5) OR (1 AND 4 AND 5),1,0.00%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5),1,0.00%
(1) OR (2),0,0.00%
(1) OR (2) OR (3),0,0.00%
(1) OR (2) OR (3 AND 4),0,0.00%
(1) OR (2) OR (3 AND 4) OR (3 AND 5),0,0.00%
(1) OR (2) OR (3 AND 4 AND 5),0,0.00%
(1) OR (2 AND 3),0,0.00%
(1) OR (2 AND 3) OR (2 AND 4),0,0.00%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0,0.00%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5),0,0.00%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5) OR (3 AND 5),0,0.00%
(1) OR (2 AND 3) OR (2 AND 4) OR (2 AND 5),0,0.00%
(1) OR (2 AND 3) OR (2 AND 4) OR (2 AND 5) OR (3 AND 4 AND 5),0,0.00%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 5),0,0.00%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 5) OR (4 AND 5),0,0.00%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4 AND 5),0,0.00%
(1) OR (2 AND 3) OR (4 AND 5),0,0.00%
(1) OR (2 AND 3) OR (2 AND 4 AND 5),0,0.00%
(1) OR (2 AND 3) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%
(1) OR (2 AND 3 AND 4),0,0.00%
(1) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5),0,0.00%
(1) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,0.00%
(1) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,0.00%
(1) OR (2 AND 3 AND 4 AND 5),0,0.00%
(1 AND 2),0,0.00%
(1 AND 2) OR (1 AND 3),0,0.00%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0,0.00%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0,0.00%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5),0,0.00%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (2 AND 5),0,0.00%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (3 AND 5),0,0.00%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (3 AND 4 AND 5),0,0.00%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 5),0,0.00%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5),0,0.00%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5) OR (4 AND 5),0,0.00%
