Wallet,Optimal_Count,Percentage,,,Generated 5456 probability scenarios.
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),3805,69.93%,,,Generated 208 wallets for keyCount = 5
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5) OR (2 AND 5) OR (3 AND 5) OR (4 AND 5),591,10.86%,,,
(1 AND 2 AND 3 AND 4) OR (1 AND 2 AND 3 AND 5) OR (1 AND 2 AND 4 AND 5) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),591,10.86%,,,Optimal wallet occurrences across 5441 scenarios (excluding 15 tied scenarios):
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (1 AND 5) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),112,2.06%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),112,2.06%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),71,1.30%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),71,1.30%,,,
(1) OR (2) OR (3) OR (4) OR (5),30,0.55%,,,
(1 AND 2 AND 3 AND 4 AND 5),30,0.55%,,,
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),6,0.11%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),6,0.11%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5) OR (2 AND 5) OR (3 AND 5),5,0.09%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4 AND 5) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),5,0.09%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5) OR (2 AND 5),1,0.02%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 5) OR (4 AND 5),1,0.02%,,,
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),1,0.02%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),1,0.02%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),1,0.02%,,,
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),1,0.02%,,,
1,0,0.00%,,,
(1) OR (2),0,0.00%,,,
(1) OR (2) OR (3),0,0.00%,,,
(1) OR (2) OR (3) OR (4),0,0.00%,,,
(1) OR (2) OR (3) OR (4 AND 5),0,0.00%,,,
(1) OR (2) OR (3 AND 4),0,0.00%,,,
(1) OR (2) OR (3 AND 4) OR (3 AND 5),0,0.00%,,,
(1) OR (2) OR (3 AND 4) OR (3 AND 5) OR (4 AND 5),0,0.00%,,,
(1) OR (2) OR (3 AND 4 AND 5),0,0.00%,,,
(1) OR (2 AND 3),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5) OR (3 AND 5),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5) OR (3 AND 5) OR (4 AND 5),0,0.00%,,,
(1) OR (2 AND 3) OR (2 AND 4) OR (2 AND 5),0,0.00%,,,
