From_keyCount,To_keyCount,From_wallet,To_wallet,Transition_count,From_total,Transition_fraction,Is_unique
2,3,(1),(1),353,3230,0.109288,True
2,3,(1),(1) OR (2),0,3230,0.000000,False
2,3,(1),(1) OR (2) OR (3),0,3230,0.000000,False
2,3,(1),(1) OR (2 AND 3),186,3230,0.057585,True
2,3,(1),(1 AND 2),0,3230,0.000000,False
2,3,(1),(1 AND 2) OR (1 AND 3),186,3230,0.057585,True
2,3,(1),(1 AND 2) OR (1 AND 3) OR (2 AND 3),2505,3230,0.775542,True
2,3,(1),(1 AND 2 AND 3),0,3230,0.000000,False
2,3,(1) OR (2),(1),0,2329,0.000000,False
2,3,(1) OR (2),(1) OR (2),449,2329,0.192787,True
2,3,(1) OR (2),(1) OR (2) OR (3),558,2329,0.239588,True
2,3,(1) OR (2),(1) OR (2 AND 3),533,2329,0.228854,True
2,3,(1) OR (2),(1 AND 2),0,2329,0.000000,False
2,3,(1) OR (2),(1 AND 2) OR (1 AND 3),0,2329,0.000000,False
2,3,(1) OR (2),(1 AND 2) OR (1 AND 3) OR (2 AND 3),789,2329,0.338772,True
2,3,(1) OR (2),(1 AND 2 AND 3),0,2329,0.000000,False
2,3,(1 AND 2),(1),0,2329,0.000000,False
2,3,(1 AND 2),(1) OR (2),0,2329,0.000000,False
2,3,(1 AND 2),(1) OR (2) OR (3),0,2329,0.000000,False
2,3,(1 AND 2),(1) OR (2 AND 3),0,2329,0.000000,False
2,3,(1 AND 2),(1 AND 2),449,2329,0.192787,True
2,3,(1 AND 2),(1 AND 2) OR (1 AND 3),533,2329,0.228854,True
2,3,(1 AND 2),(1 AND 2) OR (1 AND 3) OR (2 AND 3),789,2329,0.338772,True
2,3,(1 AND 2),(1 AND 2 AND 3),558,2329,0.239588,True
