Wallet,Unique_Count,Tie_Count,Total_Count,Unique_Percentage,Tie_Percentage,Total_Percentage
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),19742,11,19753,29.37%,0.16%,26.69%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),19742,11,19753,29.37%,0.16%,26.69%
(1) OR (2) OR (3) OR (4),2954,0,2954,4.39%,0.00%,3.99%
(1 AND 2 AND 3 AND 4),2954,0,2954,4.39%,0.00%,3.99%
(1),2436,14,2450,3.62%,0.21%,3.31%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),2166,2,2168,3.22%,0.03%,2.93%
(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),2166,2,2168,3.22%,0.03%,2.93%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),1970,7,1977,2.93%,0.10%,2.67%
(1 AND 2) OR (3 AND 4),1970,7,1977,2.93%,0.10%,2.67%
(1) OR (2) OR (3 AND 4),1670,4,1674,2.48%,0.06%,2.26%
(1 AND 2 AND 3) OR (1 AND 2 AND 4),1670,4,1674,2.48%,0.06%,2.26%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),1285,13,1298,1.91%,0.19%,1.75%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),1285,13,1298,1.91%,0.19%,1.75%
(1) OR (2) OR (3),1172,2,1174,1.74%,0.03%,1.59%
(1 AND 2 AND 3),1172,2,1174,1.74%,0.03%,1.59%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),871,7,878,1.30%,0.10%,1.19%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),871,7,878,1.30%,0.10%,1.19%
(1 AND 2) OR (1 AND 3) OR (2 AND 4),618,6,624,0.92%,0.09%,0.84%
(1) OR (2),167,0,167,0.25%,0.00%,0.23%
(1 AND 2),167,0,167,0.25%,0.00%,0.23%
(1) OR (2 AND 3 AND 4),69,0,69,0.10%,0.00%,0.09%
(1 AND 2) OR (1 AND 3) OR (1 AND 4),69,0,69,0.10%,0.00%,0.09%
(1) OR (2 AND 3) OR (2 AND 4),16,0,16,0.02%,0.00%,0.02%
(1 AND 2) OR (1 AND 3 AND 4),16,0,16,0.02%,0.00%,0.02%
(1) OR (2 AND 3),3,0,3,0.00%,0.00%,0.00%
(1 AND 2) OR (1 AND 3),3,0,3,0.00%,0.00%,0.00%
(1 AND 2) OR (1 AND 3) OR (2 AND 3),0,6750,6750,0.00%,99.32%,9.12%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0,6750,6750,0.00%,99.32%,9.12%
