Case,SAFE,LOST,LEAKED,STOLEN,Key_Count,Optimal_Wallets,Num_Optimal_Wallets,Best_Probability
1,0.5,0.3,0.1,0.1,2,(1) OR (2),1,0.55
1,0.5,0.3,0.1,0.1,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),1,0.5900000000000002
1,0.5,0.3,0.1,0.1,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),1,0.6814999999999991
2,0.4,0.2,0.2,0.2,2,(1),1,0.4000000000000001
2,0.4,0.2,0.2,0.2,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),1,0.44800000000000023
2,0.4,0.2,0.2,0.2,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) | (1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),2,0.4479999999999999
3,0.6,0.2,0.15,0.05,2,(1) | (1) OR (2),2,0.6
3,0.6,0.2,0.15,0.05,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),1,0.7560000000000001
3,0.6,0.2,0.15,0.05,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),1,0.7776000000000008
4,0.3,0.3,0.25,0.15,2,(1),1,0.3
4,0.3,0.3,0.25,0.15,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),1,0.35100000000000003
4,0.3,0.3,0.25,0.15,4,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),1,0.3577499999999999
5,0.7,0.15,0.1,0.05,2,(1) | (1) OR (2),2,0.7
5,0.7,0.15,0.1,0.05,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),1,0.8469999999999996
5,0.7,0.15,0.1,0.05,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),1,0.8690499999999991
6,0.35,0.25,0.2,0.2,2,(1),1,0.35
6,0.35,0.25,0.2,0.2,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),1,0.38675000000000004
6,0.35,0.25,0.2,0.2,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),1,0.3888062499999999
7,0.55,0.2,0.15,0.1,2,(1),1,0.5500000000000002
7,0.55,0.2,0.15,0.1,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),1,0.67375
7,0.55,0.2,0.15,0.1,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),1,0.6846812500000002
8,0.45,0.3,0.15,0.1,2,(1) OR (2),1,0.47250000000000003
8,0.45,0.3,0.15,0.1,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),1,0.54675
8,0.45,0.3,0.15,0.1,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),1,0.6059812500000005
9,0.65,0.15,0.12,0.08,2,(1),1,0.65
9,0.65,0.15,0.12,0.08,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),1,0.7884500000000003
9,0.65,0.15,0.12,0.08,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),1,0.7934744999999999
10,0.5,0.25,0.15,0.1,2,(1) | (1) OR (2),2,0.5
10,0.5,0.25,0.15,0.1,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),1,0.6125
10,0.5,0.25,0.15,0.1,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),1,0.6499999999999997
