Case,SAFE,LOST,LEAKED,STOLEN,Key_Count,Optimal_Wallets,Best_Probability
1,0.5,0.3,0.1,0.1,2,(1) OR (2),0.55
,,,,,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.5900000000000002
,,,,,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.6814999999999991
,,,,,5,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4) OR (1 AND 5) | (1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (2 AND 5) OR (3 AND 4 AND 5),0.6823499999999977
,,,,,,,
2,0.4,0.2,0.2,0.2,2,(1),0.4000000000000001
,,,,,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.44800000000000023
,,,,,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) | (1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0.4479999999999999
,,,,,5,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0.4902400000000004
,,,,,,,
3,0.6,0.2,0.15,0.05,2,(1) | (1) OR (2),0.6
,,,,,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.7560000000000001
,,,,,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.7776000000000008
,,,,,5,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0.8445599999999985
,,,,,,,
4,0.3,0.3,0.25,0.15,2,(1),0.3
,,,,,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.35100000000000003
,,,,,4,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.3577499999999999
,,,,,5,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0.3858300000000014
,,,,,,,
5,0.7,0.15,0.1,0.05,2,(1) | (1) OR (2),0.7
,,,,,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.8469999999999996
,,,,,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.8690499999999991
,,,,,5,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0.91882
,,,,,,,
6,0.35,0.25,0.2,0.2,2,(1),0.35
,,,,,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.38675000000000004
,,,,,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.3888062499999999
,,,,,5,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0.4176068749999993
,,,,,,,
7,0.55,0.2,0.15,0.1,2,(1),0.5500000000000002
,,,,,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.67375
,,,,,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.6846812500000002
,,,,,5,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0.7577143749999987
,,,,,,,
8,0.45,0.3,0.15,0.1,2,(1) OR (2),0.47250000000000003
,,,,,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.54675
,,,,,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.6059812500000005
,,,,,5,(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5) | (1 AND 2) OR (3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),0.6147899999999985
,,,,,,,
9,0.65,0.15,0.12,0.08,2,(1),0.65
,,,,,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.7884500000000003
,,,,,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.7934744999999999
,,,,,5,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0.8692531249999981
,,,,,,,
10,0.5,0.25,0.15,0.1,2,(1) | (1) OR (2),0.5
,,,,,3,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.6125
,,,,,4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.6499999999999997
,,,,,5,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 2 AND 5) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0.6898437500000012
